Genes P_value key value
OR6C3 2.041226e-09 Fst_mean_gene 0.2335536
OR6C65 0.003157056 Fst_mean_gene 0.4718942
OR6Q1 0.008048226 Fst_mean_gene 0.4790879
OR8B3 2.979919e-05 Fst_mean_gene 0.3087525
OR8G5 0.00746553 Fst_mean_gene 0.3726002
OR8H3 3.063396e-13 Fst_mean_gene 0.2414133
OR8I2 3.312215e-09 Fst_mean_gene 0.1552108
OR8J3 0.04392796 Fst_mean_gene 0.3985996
OR8K3 6.7105e-05 Fst_mean_gene 0.1165039
OR8S1 0.001446542 Fst_mean_gene 0.02879153
OR9A4 0.02123099 Fst_mean_gene 0.4449365
Tas2r134 5.683562e-07 Fst_mean_gene 0.5599117
Tas2r40 0.0008250478 Fst_mean_gene 0.4529511
OR10A5 0.005128451 Fst_mean_back 0.6546487
OR10AG1 0.0005219948 Fst_mean_back 0.4030505
OR10C1 3.213834e-25 Fst_mean_back 0.7296131
OR10G6 0.002928432 Fst_mean_back 0.4695794
OR10H1 0.0005885015 Fst_mean_back -0.006255416
OR10Q1 8.151667e-11 Fst_mean_back 0.9109221
OR10W1 0.04753361 Fst_mean_back 0.2643023
OR11G2 0.01204481 Fst_mean_back 0.38952
OR11H6 0.01168093 Fst_mean_back 0.4287029
OR12D2 3.429058e-10 Fst_mean_back 0.4541248
OR14C36 1.733569e-08 Fst_mean_back 0.2680878
OR14I1 3.753751e-97 Fst_mean_back 0.7612247
OR14J1 5.360133e-06 Fst_mean_back 0.3178569
OR1D2 5.302341e-10 Fst_mean_back 0.3192187
OR1F1 0.01996004 Fst_mean_back 0.4010739
OR1J2 0.01218051 Fst_mean_back 0.3308757
OR1L6 6.275875e-06 Fst_mean_back 0.01691035
OR2AE1 1.052365e-05 Fst_mean_back 0.2050934
OR2AT4 3.856562e-06 Fst_mean_back 0.1068452
OR2B11 0.0001013133 Fst_mean_back 0.2757734
OR2L3 8.822512e-07 Fst_mean_back 0.2503059
OR2M5 0.01101956 Fst_mean_back 0.2501363
OR2T3 0.04281531 Fst_mean_back 0.2121665
OR2Z1 0.004744501 Fst_mean_back 0.4567743
OR4A15 0.03743782 Fst_mean_back 0.4179015
OR4A8 0.03254529 Fst_mean_back 0.4819525
OR4C3 0.0004159194 Fst_mean_back 0.3643311
OR4D2 0.000714862 Fst_mean_back 0.2038384
OR4D5 2.507622e-13 Fst_mean_back 0.5227255
OR4D9 0.005921834 Fst_mean_back 0.2706435
OR4F15 0.0007068006 Fst_mean_back 0.4938287
OR4K3 0.000172606 Fst_mean_back 0.766407
OR4P4 7.962972e-30 Fst_mean_back 0.709298
OR4Q3 1.633499e-06 Fst_mean_back 0.4238506
OR51T1 0.03536911 Fst_mean_back 0.4939176
OR52D1 5.627405e-07 Fst_mean_back 0.04566543
OR52J3 0.0002593779 Fst_mean_back 0.524504
OR52M1 0.0001666939 Fst_mean_back 0.2582157
OR56A3 0.01103353 Fst_mean_back 0.4176284
OR56A4 0.02895723 Fst_mean_back 0.2487658
OR5AN1 1.060717e-16 Fst_mean_back 0.3970658
OR5B12 1.139927e-05 Fst_mean_back 0.228588
OR5B3 0.0009605833 Fst_mean_back 0.4948137
OR5L2 8.060141e-06 Fst_mean_back 0.9084176
OR5M3 0.0004796329 Fst_mean_back 0.2070178
OR5V1 9.51492e-07 Fst_mean_back 0.2784887
OR5W2 0.02270748 Fst_mean_back 0.3844339
OR6C3 2.041226e-09 Fst_mean_back 0.3586189
OR6C65 0.003157056 Fst_mean_back 0.3140612
OR6Q1 0.008048226 Fst_mean_back 0.2676175
OR8B3 2.979919e-05 Fst_mean_back 0.6332385
OR8G5 0.00746553 Fst_mean_back 0.4926748
OR8H3 3.063396e-13 Fst_mean_back 0.4029057
OR8I2 3.312215e-09 Fst_mean_back 0.3389294
OR8J3 0.04392796 Fst_mean_back 0.2942979
OR8K3 6.7105e-05 Fst_mean_back 0.3685476
OR8S1 0.001446542 Fst_mean_back 0.2160253
OR9A4 0.02123099 Fst_mean_back 0.2175524
Tas2r134 5.683562e-07 Fst_mean_back 0.3067762
Tas2r40 0.0008250478 Fst_mean_back 0.1981882
